Brand;Founded By/How it was founded;Founded In;Country;Key People;Genre/Industry;Website;Rank in 2022;Rank in 2021;Brand Value ($M) in 2022;Brand Value ($M) in 2021;% Change;Rating in 2022;Rating in 2021
Apple;Steve Jobs, Steve Wozniak,Ronald Wayne;1976;United States;Tim Cook(CEO);Consumer electronics, Software Service, Online Services;https://www.apple.com/;1;1;355079.97;263374.7;35%;AAA;AAA
Amazon;Jeff Bezos;1994;United States;Andy Jassy(CEO);E-Commerce, Cloud Computing, Artificial Intelligence, Consumer electronics, Entertainment, Digital Distribution, Self-Driving Cars, Supermarket;https://www.amazon.com/;2;2;350273.25;254187.58;38%;AAA+;AAA+
Google;Larry Page, Sergey Brin;1998;United States;Sundar Pichai(CEO);Artificial Intelligence, Advertising, Cloud Computing, Computer Software, Computer Hardware, Internet;https://www.google.com/;3;3;263424.93;191214.84;38%;AAA+;AAA
Microsoft;Bill Gates, Paul Allen;1975;United States;Satya Nadella(CEO);Information Technology;https://www.microsoft.com/;4;4;184244.52;140435.35;31%;AAA;AAA
Walmart;Sam Walton;1962;United States;Doug McMillon(CEO);Retail;https://www.walmart.com/;5;6;111918.32;93185.28;20%;AAA-;AA+
Samsung Group;Lee Byung-chul;1938;South Korea;Lee Jae-yong(Chairman);Conglomerate;https://www.samsung.com/;6;5;107284;102623;5%;AAA-;AAA-
Facebook;Mark Zuckerberg, Eduardo Saverin;2004;United States;Mark Zuckerberg(CEO);Social Networking Service, Publishing;https://facebook.com/;7;7;101200.52;81476.37;24%;AA+;AA+
ICBC;People's Bank of China(Parent);1984;China;Gu Shu(CEO);Financial services;https://www.icbc.com.cn/icbc/en/;8;8;75119.27;72788.38;3%;AAA+;AAA
Huawei;Ren Zhengfei;1987;China;Ren Zhengfei(CEO);Consumer Electronics, Telecom Equipment, Networking Equipment, Semiconductors, Artificial Intelligence, Automation, Cloud Computing, Internet Of Things;https://www.huawei.com/en/;9;15;71232.74;55395.83;29%;AAA-;AAA
Verizon;Bell Atlantic Corp. and GTE Corp.;1983;United States;Hans Vestberg(CEO);Telecommunications, Mass Media;https://www.verizon.com/;10;9;69639.25;68889.5;1%;AAA-;AAA
China Construction Bank;People's Bank of China name was changed to China Construction Bank by China's Ministry of Finance;1954;China;Wang Hongzhang(Chairman);Financial services;http://en.ccb.com/en/home/indexv3.html;11;11;65546.46;59649.12;10%;AAA;AAA
Toyota;Kiichiro Toyoda;1937;Japan;Takeshi Uchiyamada(Chairman);Automotive;https://global.toyota/;12;12;64283;59479;8%;AAA;AAA
WeChat;Tencent;2011;China;Ma Huateng(CEO of Tencent which develops WeChat);Instant messaging, social Media and mobile payment app;https://www.wechat.com/;13;10;62302.54;67901.98;-8%;AAA+;AAA+
Agricultural Bank Of China;Governement of China(with the merger of an agricultural bank with the central bank);1951;China;Gu Shu(Chairman);Financial services;https://www.abchina.com/;14;19;62031.22;53134.09;17%;AAA;AAA-
Mercedes-Benz;Emil Jellinek, Paul Daimler;1926;Germany;Sten Ola K llenius(CEO);Automotive;https://www.mercedes-benz.com/en/;15;13;60760;58225;4%;AAA-;AAA-
State Grid;State Council of China;2002;China;Shu Yinbiao(Chairman);Electric utility;http://www.sgcc.com.cn/;16;16;60174.88;55202.86;9%;AAA;AAA-
Deutsche Telekom;Postal Adminstration 'Deutsche Bundespost' of the German Governement as split into 3 entities, one being Deutsche Telekom;1995;Germany;Timotheus H ttges(CEO);Telecommunications;https://www.telekom.com/en;17;23;60168.74;51107.03;18%;AAA-;AA+
TikTok/Douyin;ByteDance;2016;China;Shou Zi Chew(CEO);Video Hosting;https://www.tiktok.com/ https://www.douyin.com/;18;-;58979.93;18700;215%;AA+;-
Disney;Walt Disney, Roy O. Disney;1923;United States;Bob Chapek(CEO);Media, Entertainment;https://thewaltdisneycompany.com/;19;22;57059.42;51244.01;11%;AAA+;AAA+
Home Depot;Bernard Marcus, Arthur Blank, Ron Brill, Pat Farrah, Ken Langone;1978;United States;Ted Decker(CEO);Retail;https://www.homedepot.com/;20;20;56312.3;52917.39;6%;AAA-;AAA
Ping An;Ma Mingzhe;1988;China;Xie Yonglin(Co-CEO), Tan Sin Yin(Co-CEO), Yao Jason Bo(Co-CEO);Financial Services;https://group.pingan.com/;21;17;54354;54579;0%;AAA-;AAA-
Taobao;Alibaba group;2003;China;Trudy Dai Shan(chairwoman);C2C, E-commerce;https://www.taobao.com/;22;18;53761.5;53335.29;1%;AAA-;AAA
Shell;Marcus Samuel, samuel Samuel, Jean B.A. Kessler, Henri Deterding, Hugo Loudon;1907;United Kingdom;Ben van Beurden(CEO);Energey, Petroleum;https://www.shell.com/;23;28;49925.43;42156.08;18%;AAA-;AAA
Bank of China;Chen Jintao;1912;China;Liu Liange(Chairman);Financial services;https://www.boc.cn/en/;24;25;49553.38;48689.28;2%;AAA;AAA
Tmall;Alibaba group;2008;China;Trudy Dai Shan(chairwoman);E-commerce, Retail;https://www.tmall.com/;25;24;49182.43;49178.92;0%;AA+;AAA
AT&T;Alexander Graham Bell, Gardiner Greene Hubbard;1885;United States;John Stankey(CEO);Telecommunications, Technology;https://about.att.com/;26;21;47008.54;51372.34;-8%;AA;AA
Tencent;Pony Ma, Tony Zhang, Xu Chenye, Charles Chen, Zeng Liqing;1998;China;Pony Ma(CEO);Conglomerate;https://www.tencent.com/en-us/index.html;27;14;46652.5;56432.39;-17%;AAA-;AAA
Tesla;Martin Eberhard, Marc Tarpenning;2003;United States;Elon Musk(CEO);Automotive, Renewable energy;https://www.tesla.com/;28;42;46009.69;31985.9;44%;AA+;AA+
Starbucks;Jerry Baldwin, Zev Siegl, Gordon Bowker;1971;United States;Mellody Hobson(Chairwoman);Coffee shop;https://www.starbucks.com/;29;31;45699.13;38440.12;19%;AAA;AAA-
Allianz Group;Carl von Thieme;1890;Germany;Oliver B te(CEO);Financial services;http://allianz.com/;30;-;45203.47;15174;198%;AAA-;-
Aramco;Government Of saudi Arabia through a company 'Standard Oil of California'(SoCal) and its subsidiary 'California -Arabian Standard Oil'(CASOC). This CASOC name was later changed to 'Arabian-Americal Oil Co.(Aramco)';1933;Saudi Arabia;Amin H. Nasser(CEO);Oil and gas;https://www.aramco.com/;31;33;43636.86;37478.64;16%;AA;AA
Moutai;Kweichow Moutai Group;1999;China;Ding Xiongjun(CEO);Alcohol industry;http://www.moutaichina.com/;32;27;42905.18;45333.22;-5%;AAA;AAA
Volkswagen;German Labour Front;1937;Germany;Ralf Brandstaetter(CEO);Automotive;https://www.vw.com/en.html;33;26;41046;47020;-13%;AAA-;AAA-
China Mobile;Incorporated in 1997 as China Telecom(Hong Kong), China Mobile was born from the 1999 break-up of China Telecommunications Corporation;1997;China;Dong Xin(CEO);Telecommunications;http://www.chinamobileltd.com/;34;32;40902.69;37558.89;9%;AAA-;AAA-
NTT Group;Government of Japan;1952;Japan;Akira Shimada(CEO);Telecommunications;https://group.ntt/en/ AND https://www.global.ntt/;35;37;40691;34238;19%;AA+;AA
McDonald's;Richard McDonald, Maurice McDonald, Ray Kroc;1940;United States;Chris Kempczinski(CEO);Restaurants, real estate;https://www.mcdonalds.com/us/en-us.html AND https://corporate.mcdonalds.com/corpmcd/home.html;36;38;39720.8;33838.36;17%;AAA;AAA
Mitsubishi Group;Yatar? Iwasaki;1870;Japan;Group of 40 companies without a controlling parent company.;Automotive,Chemical,Electronics,Food,Financial,Metallurgy,Mining,Petroleum;https://www.mitsubishi.com/en/;37;34;39203;36296.92;8%;AA-;AA-
UPS;James E. Casey;1907;United States;Carol Tom (CEO);Courier;http://ups.com/;38;50;38533.32;30055.96;28%;AAA-;AA+
BMW;Camillo Castiglioni, Franz Josef Popp, Karl Rapp;1916;Germany;Oliver Zipse(CEO);Automotive;https://www.bmwgroup.com/en.html AND https://www.bmw.com/en/index.html;39;29;37945.39;40447.11;-6%;AAA-;AAA-
Costco;James Sinegal, Jeffrey Brotman;1983;United States;W. Craig Jelinek(CEO);Retail;https://www.costco.com/;40;51;37501.35;28887.9;30%;AAA-;AA+
Bank of America;Amadeo Giannini, Hugh McColl;1998;United States;Brian Moynihan(CEO);Financial services;https://www.bankofamerica.com/;41;40;36719.17;32787.35;12%;AA+;AA+
Marlboro;Philip Morris;1924;United States;Jacek Olczak(CEO of manufacturing company Philip Morris International);Cigarettes;https://www.marlboro.com/;42;35;36278;35572;2%;AA+;AA+
Accenture;"In 1989, Arthur Andersen and Andersen Consulting became separate units of 'Andersen Worldwide Soci t  Coop rative'. On 1st January 2001, Andersen Consulting adopted its current name ""Accenture"".";1989;Ireland;Julie Sweet(CEO);Professional services, Information technology, Consulting;https://www.accenture.com/;43;60;36190.05;26028.06;39%;AAA;AAA
Coca-Cola;John Stith Pemberton;1886;United States;James Quincey(CEO of The Coca-Cola Company which manufactures Coca-Cola;Carbonated Soft Drink;https://www.coca-cola.com/;44;39;35379.02;33166.17;7%;AAA+;AAA+
Citi;Sanford Weill, Samuel Osgood;1998;United States;Jane Fraser(CEO);Financial services;https://www.citigroup.com/;45;41;34443.07;32199.99;7%;AAA-;AAA-
Porsche;Ferdinand Porsche;1931;Germany;Oliver Blume(CEO);Automotive;https://www.porsche.com/;46;36;33712.92;34325.53;-2%;AAA;AAA-
Instagram;Kevin Systrom, Mike Krieger;2010;United States;Adam Mosseri(Head Of Instagram);Video Sharing, Social Networking service;https://instagram.com/;47;63;33483.24;25073.11;34%;AAA+;AAA
Lowe's;Lucius Smith Lowe;1921;United States;Marvin R. Ellison(CEO);Retail;https://lowes.com/;48;49;33391.59;30376.09;10%;AAA-;AAA-
Nike;Bill Bowerman, Phil Knight;1964;United States;John Donahoe(CEO);Apparel, Accessories, Sports Equipment;https://www.nike.com/;49;47;33175.68;30443.3;9%;AAA-;AAA
UnitedHealthcare;Richard T. Burke;1977;United States;Andrew Witty(CEO);Managed Healthcare, Insurance;http://unitedhealthgroup.com/;50;54;32946.22;27308.02;21%;AA+;AA
Xfinity;"It was started as Comcast Cable(1981-2010). In February, the name was changed to ""Xfinity""";1981;United States;David N. Watson(CEO);Telecommunications;https://www.xfinity.com/;51;62;31262.54;25226.81;24%;AA;AA
Chase;"Subsidiary of JPMorgan Chase. Was known as Chase Manhattan Bank until the merger with JP Morgan & Co. in 2000. ";1799;United States;Jamie Dimon(CEO);Banking;https://www.chase.com/;52;52;30148.31;28849.24;5%;AA;AA+
Wells Fargo;Henry Wells, William Fargo;1852;United States;Charles Scharf(CEO);Financial services;https://www.wellsfargo.com/;53;44;30054.2;31804.69;-6%;AA;AA+
Deloitte;William Welch Deloitte;1845;England;Punit Renjen(CEO);Professional services;https://www.deloitte.com/;54;56;29811.34;26661.77;12%;AAA+;AAA+
PetroChina;Founded as a joint stock company with limited liabilities under the Company Law of China as part of restructuring of China National Petroleum Corporation(CNPC);1999;China;Wang Dongjin(CEO);Oil and gas;http://www.petrochina.com.cn/ptr/;55;45;29656.09;31414.63;-6%;AA;AA+
Netflix;Reed Hastings, Marc Randolph;1997;United States;Reed Hastings(Chairman and Co-CEO), Ted Sarandos(Co-CEO and CCO);Technology & Entertainment industry, mass media;http://www.netflix.com/;56;64;29410.58;24943.42;18%;AAA+;AAA
Oracle;Larry Ellison, Bob Miner, Ed Oates;1977;United States;Safra Catz (CEO);Enterprise software, Business software, Cloud computing, Computer hardware, Consulting;https://www.oracle.com/;57;59;29120.63;26156.75;11%;AA;AA
JP Morgan;J. P. Morgan;1871;United States;Jamie Dimon(CEO);Investment banking, commercial banking, asset management;https://www.jpmorgan.com/;58;66;28887.99;23565.13;23%;AAA-;AAA
Wuliangye;Wuliangye Yibin Company Limited;1998;China;Tao Zou(CEO);Alcohol industry;https://www.wuliangye.com.cn/zh/main/index.html;59;61;28744.31;25768.07;12%;AAA;AAA
Target;George Dayton, Douglas Dayton & John Geisse;1902;United States;Brian C. Cornell(Chairman and CEO);Retail;https://target.com/ AND https://corporate.target.com/;60;80;28341.88;20685.19;37%;AAA-;AA+
Honda;Soichiro Honda;1946;Japan;Toshihiro Mibe(CEO);Manufacturing;https://global.honda/;61;46;28243;31366;-10%;AAA-;AAA
CSCEC;Founded as a state company;1957;China;Zhou Naixiang(Chairman);Construction;http://www.cscec.com.cn/;62;48;27385.67;30383.3;-10%;AA;AA
American Express;Founded as a joint-stock corporation by the merger of the express companies owned by Henry Wells(Wells & Company), William G. Fargo(Livingston, Fargo and Company) and John Warren Butterfield(Wells, Butterfield and Company);1850;United States;Stephen J. Squeri(Chairman and CEO);Banking, Financial services;https://www.americanexpress.com/;63;67;27247.5;23558.79;16%;AA+;AA+
JD.com;Liu Qiangdong;2009;China;Xu Lei(President and CEO);E-Commerce, Artificial Intelligence, Robotics, Autonomous Car;http://www.joybuy.com/;64;68;27152.47;23539.49;15%;AAA-;AAA
VISA;Dee Hock;1958;United States;Alfred F. Kelly Jr.(CEO);Financial services;https://visa.com/;65;57;27088.93;26507.84;2%;AAA-;AAA
Cisco;Leonard Bosack, Sandy Lerner;1984;United States;Chuck Robbins(CEO and Chairman);Networking hardware, Networking software;https://www.cisco.com/;66;86;26599.15;20122.38;32%;AAA-;AA+
CVS;Stanley Goldstein, Sidney Goldstein, Ralph Hoagland, Dipak Dave;1963;United States;Karen S. Lynch(CEO);Retail;http://cvs.com/;67;55;26185;26942.29;-3%;AA;AA+
FedEx;Frederick W. Smith;1971;United States;Raj Subramaniam(CEO);E-Commerce, Services, Transportation;https://www.fedex.com/;68;69;26011.61;23538.64;11%;AA+;AA
Intel;Gordon Moore, Robert Noyce;1968;United States;Pat Gelsinger(CEO);Semiconductors, Computer hardware, Autonomous cars, Automation, Artificial Intelligence;https://www.intel.com/;69;43;25612.1;31817.2;-20%;AA+;AAA
Sinopec;Established as a joint stock entity under the China Petrochemical Corporation Group(Sinopec Group);2000;China;Zhao Dong(President);Oil and gas;http://www.sinopec.com/listco/en/;70;58;25164.93;26397.98;-5%;AA+;AA+
Sumitomo Group;Masatomo Sumitomo;1615;Japan;-;Conglomerate;https://www.sumitomo.gr.jp/english/;71;65;25050;24122.19;4%;AA-;A+
Hyundai Group;Chung Ju-yung;1947;South Korea;Hyun Jeong-eun(Chairman);Conglomerate;http://www.hyundaigroup.com/eng/;72;70;24971;23092.43;8%;AA;AA
SK Group;Chey Jong-gun;1953;South Korea;Chey Tae-won(Chairman and CEO);Conglomerate;http://www.sk.com/en/;73;78;24421;21115.26;16%;AA+;AA
China Merchants Bank;Yuan Geng;1987;China;Wang Liang (CEO);Banking;https://www.cmbchina.com/;74;79;24369.7;21043.7;16%;AA+;AA+
Mitsui;Mitsui Takatoshi;1876;Japan;-;Conglomerate;https://www.mitsui.com/jp/en/index.html;75;73;24329;22495.82;8%;A+;A+
Ford;Henry Ford;1903;United States;Jim Farley(President and CEO);Automotive;https://www.ford.com/;76;71;24178;22676;7%;AA+;AA+
Spectrum;Trade name of Charter Communications;1999;United States;Tom Rutledge(Chairman and CEO of Charter Communications);Telecommunications;https://www.spectrum.com/;77;75;24082.81;21423.61;12%;AA;AA
TATA Group;Jamsedji Tata;1868;India;Natarajan Chandrasekaran(Chairman and Managing Director);Conglomerate;https://www.tata.com/;78;77;23919.8;21283.1;12%;AAA-;AAA-
YouTube;Chad Hurley, Steve Chen, Jawed Karim;2005;United States;Susan Wojcicki(CEO);Internet, Video Hosting Service;https://www.youtube.com/;79;102;23891.37;17286.13;38%;AAA+;AAA
China Life;Formed from the breakup of former government-owned monopoly 'People's Insurance Company of China', it was established as a public traded company with its parent as China Life Insurance Group of the Minstry of Finance;1949;China;Dairen Lin(CEO);Financial services;https://www.chinalife.com.cn/;80;72;23885;22578;6%;AAA;AAA-
Louis Vuitton;Louis Vuitton;1955;France;Michael Burke(Chairman and CEO);Fashion;https://www.louisvuitton.com/;81;123;23425.92;14857.61;58%;AAA;AAA-
EY;Formed with the merger of 2 firm(one with Alwin C. Ernst & Frederick Whinney as the partners and the other with Arthur Young and Broads patterson and Co. as the partners);1989;United Kingdom;Carmine Di Sibio(Chairman and CEO);Professional services;https://www.ey.com/;82;83;23247.49;20287.4;15%;AAA+;AAA+
PwC;"Formed with the merger of Price Waterhouse and Coopers & Lybrand ";1998;United Kingdom;Robert E. Moritz(Chairman);Professional services;https://www.pwc.com/;83;74;23170.58;22231.61;4%;AAA;AAA
Alibaba.com;Jack Ma;1993;China;Daniel Zhang(CEO);Technology;https://www.alibabagroup.com/en-US/;84;30;22842.66;39155.52;-42%;AA+;AAA
Uber;Garrett Camp, Travis Kalanick;2009;United States;Dara Khosrowshahi(CEO);Transportation, Mobility as a service;https://www.uber.com/;85;82;22819.98;20477.9;11%;AA-;AA-
Siemens Group;Werner von Siemens;1847;Germany;Roland Busch(CEO);Conglomerate;https://www.siemens.com/;86;81;22430;20646;9%;AA+;AA+
Dell Technologies;Michael Dell( formed as merger of Dell and EMC Corporation);2016;United States;Michael Dell(Chairman and CEO);Computer Hardware, Software, Cloud Computing, Data Storage, Information Security, Consulting;http://dell.com/;87;94;22220;18427;21%;AA;AA
Mastercard;Originally known as Interbank and later as Master Charge, 'Mastercard' was created by an alliance of several regional bankcard associations in response to BankAmericard issued by Bank of America, which later became the Visa credit card.;1978;United States;Michael Miebach(CEO);Financial services;https://www.mastercard.com/;88;90;21425.3;19117.21;12%;AA+;AAA-
IBM;Charles Ranlett Flint;1911;United States;Arvind Krishna(Chairman and CEO);Information Technology;https://www.ibm.com/;89;53;21383;27428;-22%;AA+;AA+
Nestlé;Henri Nestl ;1866;Switerland;Ulf Mark Schneider(CEO);Food processing;http://nestle.com/;90;88;20818.74;19427.99;7%;AAA;AAA
LG Group;Koo In-hwoi;1947;South Korea;Koo Kwang-mo(Chairman and CEO);Conglomerate;https://www.lgcorp.com/;91;92;20792;18519.05;12%;AA+;AA+
Pepsi;" Caleb Bradham";1893;United States;Ramon Laguarta(CEO of the manufacturing company PepsiCo);Cola(carbonated drink);http://www.pepsi.com/;92;93;20712.25;18455.47;12%;AAA+;AAA
TSMC;Morris Chang;1987;Taiwan;C.C. Wei(CEO);Semiconductors, GPUs, Graphic cards, Consumer Electronics, Computer Hardware;https://www.tsmc.com/;93;148;20474;12297.96;66%;AAA-;AAA-
Sony;Masaru Ibuka, Akio Morita;1946;Japan;Kenichiro Yoshida(Chairman, President and CEO);Conglomerate;https://www.sony.com/;94;115;19814.9;15701.9;26%;AAA-;AA+
General Electric;Charles A. Coffin, Thomas Edison, J. P. Morgan;1892;United States;H. Lawrence Culp Jr.(Chairman and CEO);Conglomerate;https://www.ge.com/;95;97;19725.44;18028.43;9%;AA+;AA+
CRCC;Formerly an arm of People's Liberation Army, the company was incorporated to float the assest of China Railway Construction Corporation(Group);1948;China;Fengchao Meng(Chairman);Construction;https://www.crcc.cn/;96;112;19687.3;15910.79;24%;AA+;AA-
Walgreens;Charles Rudolph Walgreen;1901;United States;Rosalind Brewer(CEO);Retail;http://walgreens.com/;97;108;19685.87;16096.58;22%;AA+;AA
Vodafone;Ernest Harrison, Gerry Whent;1991;United Kingdom;Nick Read(CEO);Telecommunications;http://www.vodafone.com/;98;89;19506.03;19252.35;1%;AA;AA+
Aldi;Karl, Theo Albrecht;1946;Germany;"Torsten Hufnagel(CEO of Aldi Nord) Giles Hurley(CEO of Aldi S d)";Retail;http://aldi.com/;99;118;19236.62;15487.07;24%;AAA-;AAA-
RBC;"The Merchants Bank of Halifax, found in 1864 as a commercial bank that financed the fishing and timber industries and the European and Caribbean import/export businesses, changed its name to the Royal Bank of Canada(RBC) in 1901.  ";1864;Canada;David I. McKay(President and CEO);Financial Services;http://rbc.com/;100;114;19039.81;15817.97;20%;AAA-;AAA